Model,Umbral,Accuracy,Precision,Recall,F1,AUC
Random Forest,0.5,0.8603655818100758,0.767938396919846,0.7084275104940265,0.7369835404769902,0.9337255502328704
Random Forest,0.47,0.8587605884975479,0.7423902595322012,0.7481433645463351,0.745255709231264,0.9337255502328704
XGBoost,0.5,0.8715113687026304,0.78125,0.7426541814659348,0.7614633338851183,0.9453991429132595
XGBoost,0.47,0.8696388765046812,0.7622714148219442,0.7671940587665482,0.76472481493402,0.9453991429132595
Gradient Boosting,0.5,0.8430673205528311,0.7424737033006892,0.660962221504682,0.69935087119918,0.916391046083825
Gradient Boosting,0.47,0.8391440035666518,0.7103807354376831,0.7048756861478851,0.7076175040518639,0.916391046083825
AdaBoost,0.5,0.8032991529201962,0.6840148698884758,0.534711010655473,0.6002174700978615,0.8614954167711754
AdaBoost,0.48,0.7938475256353098,0.6227713481388802,0.6428802066515983,0.632666031140769,0.8614954167711754
