PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
0,0,0,0.0,1,2,0,0,1,50,1,0,0,4.0,1,0.0,0,3233,7998,1,2,29,6
0,0,0,0.0,1,3,2,0,1,48,0,0,0,2.0,1,0.0,0,2594,24347,0,1,53,0
0,0,0,0.0,1,2,3,1,1,48,1,0,0,3.0,0,1.0,0,3233,0,0,1,30,0
0,0,0,0.0,1,0,0,0,1,2,1,0,0,3.0,0,2.0,0,2594,0,0,1,23,0
0,0,0,0.0,1,0,0,1,1,12,0,0,0,3.0,0,0.0,0,1590,0,0,0,29,0
0,0,0,0.0,1,0,0,0,1,32,0,0,0,4.0,0,0.0,0,2594,0,1,1,31,4
0,0,0,0.0,1,0,0,0,1,7,0,0,0,3.0,0,0.0,0,2594,0,0,2,26,0
0,0,0,0.0,1,0,3,1,1,8,0,0,0,4.0,0,0.0,0,2594,0,1,2,30,4
0,0,0,0.0,1,0,3,1,1,32,1,0,0,4.0,0,0.0,0,4720,0,1,2,29,6
0,0,0,0.0,1,2,0,1,1,2,1,0,0,3.0,0,0.0,0,3233,0,0,2,32,0
0,0,0,0.0,1,0,3,0,1,28,0,0,0,0.0,0,0.0,0,3036,0,0,2,31,0
0,0,0,0.0,1,2,3,0,1,32,1,0,0,3.0,1,2.0,0,5677,4186,1,2,58,8
0,0,0,0.0,1,0,0,0,2,29,0,0,0,4.0,1,0.0,0,2594,6207,0,2,60,0
0,0,0,0.0,1,2,0,0,1,37,1,0,0,4.0,0,3.0,1,3233,0,1,1,26,5
0,0,0,0.0,1,3,0,0,1,36,1,0,0,3.0,0,3.0,1,4720,0,1,1,22,6
0,0,0,0.0,1,3,0,0,1,19,1,0,0,2.0,1,2.0,0,4720,6124,1,2,37,8
0,0,0,0.0,1,2,0,1,1,32,1,0,0,4.0,0,1.0,0,2777,0,1,0,22,4
0,0,0,0.0,1,2,0,0,1,19,1,0,0,2.0,1,0.0,0,3850,6580,1,1,18,7
0,0,0,0.0,1,3,0,0,1,33,0,0,0,3.0,1,2.0,1,1376,9646,0,1,50,0
0,0,0,0.0,1,3,0,0,2,25,1,0,0,3.0,1,3.0,1,1376,4923,0,1,29,0
0,0,0,0.0,1,3,2,0,1,22,0,0,0,2.0,1,3.0,1,2594,9150,0,2,46,0
0,0,0,0.0,1,0,0,1,1,8,0,0,0,4.0,1,0.0,0,1376,9780,1,2,50,5
0,0,0,0.0,1,2,0,0,1,19,1,0,0,2.0,0,0.0,0,3850,0,1,2,18,5
0,0,0,0.0,1,3,0,1,1,7,1,0,0,3.0,0,2.0,0,3213,0,1,1,20,5
0,0,0,0.0,1,1,1,1,1,8,1,0,0,2.0,1,1.0,0,2594,10219,0,2,45,0
0,0,0,0.0,1,2,0,0,1,2,1,0,0,2.0,1,3.0,1,2015,5569,0,2,49,0
0,0,0,0.0,1,3,0,0,1,52,0,0,0,3.0,1,3.0,1,1376,20876,0,1,19,0
0,0,0,0.0,1,2,0,0,1,32,1,0,0,3.0,1,3.0,1,2015,25550,0,2,45,0
0,0,0,0.0,1,0,0,0,1,35,0,0,0,2.0,1,0.0,0,1376,18674,0,2,58,0
0,0,0,0.0,1,0,0,0,1,4,0,0,0,2.0,0,3.0,1,1376,0,0,2,25,0
0,0,0,0.0,1,2,0,0,1,48,1,0,0,4.0,1,1.0,0,2015,10132,0,2,42,0
0,0,0,0.0,1,0,3,0,1,26,1,0,0,3.0,1,0.0,0,2892,14797,1,2,54,7
0,0,0,0.0,1,0,3,0,1,27,0,0,0,2.0,0,2.0,0,1376,0,1,0,26,3
0,0,0,0.0,1,2,0,1,1,41,0,0,1,0.0,0,0.0,0,2611,0,0,1,26,0
0,0,0,0.0,1,0,0,1,1,32,1,0,0,4.0,1,3.0,1,2208,6428,1,2,46,5
0,0,0,0.0,1,3,0,1,1,39,1,0,0,3.0,1,0.0,0,2892,30078,1,2,60,5
0,0,0,0.0,1,0,3,1,1,32,0,0,0,0.0,1,2.0,0,1376,17082,0,2,47,0
0,0,0,0.0,1,2,0,1,1,32,0,0,1,4.0,0,0.0,0,2169,0,1,1,25,4
0,0,0,0.0,1,2,3,1,1,32,1,0,1,3.0,1,1.0,0,1376,17003,0,1,46,0
0,0,0,0.0,1,2,3,1,1,32,0,0,1,0.0,0,2.0,0,4193,0,0,0,19,0
0,0,0,0.0,1,3,3,1,1,28,0,0,0,0.0,0,0.0,0,2031,0,0,2,31,0
0,0,0,0.0,1,2,3,0,1,27,1,0,1,0.0,0,1.0,0,1376,0,0,2,30,0
0,0,0,0.0,1,3,0,0,1,39,1,0,0,0.0,1,3.0,1,2892,7363,1,1,38,6
0,0,0,0.0,1,2,1,0,1,19,1,0,1,2.0,1,0.0,0,920,20320,0,2,62,0
0,0,0,0.0,1,2,0,1,1,7,1,0,0,2.0,0,3.0,1,3850,0,1,2,21,5
0,0,0,0.0,1,2,3,1,1,41,1,0,1,4.0,0,0.0,0,3555,0,1,1,18,5
0,0,0,0.0,1,2,0,0,1,8,0,0,1,0.0,0,1.0,0,2169,0,0,1,20,0
0,0,0,0.0,1,3,0,1,0,28,0,0,0,4.0,0,3.0,1,1362,0,1,1,18,3
0,0,0,0.0,1,2,3,0,1,41,1,0,0,2.0,1,0.0,0,3168,4105,1,2,42,6
0,0,0,0.0,1,2,0,0,2,31,1,0,0,4.0,1,0.0,0,1560,13844,1,1,61,6
0,0,0,0.0,1,0,3,0,1,48,0,0,0,4.0,0,3.0,1,1376,0,1,2,29,3
0,0,0,0.0,1,0,0,0,1,41,0,0,0,4.0,1,3.0,1,1818,6847,0,1,23,0
0,0,0,0.0,1,3,0,0,1,41,1,0,0,3.0,0,0.0,0,3555,0,1,1,22,5
0,0,0,0.0,1,3,3,1,1,7,1,0,0,2.0,1,3.0,1,2892,10025,1,1,39,6
0,0,0,0.0,1,2,3,0,1,39,1,0,0,2.0,1,0.0,0,2015,5622,0,1,38,0
0,0,0,0.0,1,2,0,1,1,7,1,0,1,0.0,0,3.0,1,1590,0,0,1,26,0
0,0,0,0.0,1,2,3,0,1,25,0,0,1,2.0,0,0.0,0,2169,0,0,1,30,0
0,0,0,0.0,1,2,0,1,1,19,1,0,0,4.0,0,3.0,1,2228,0,0,0,28,0
0,0,0,0.0,1,2,0,0,1,2,1,0,0,4.0,1,3.0,1,2015,8339,0,1,59,0
0,0,0,0.0,1,3,0,1,1,41,0,0,0,2.0,1,0.0,0,2727,35494,1,2,44,5
0,0,0,0.0,1,2,1,0,1,8,1,0,0,4.0,0,0.0,0,3850,0,1,2,28,5
0,0,0,0.0,1,2,1,0,1,8,1,0,0,4.0,1,3.0,1,2015,10339,0,2,53,0
0,0,0,0.0,1,3,3,1,1,41,0,0,0,4.0,0,1.0,0,2031,0,1,1,22,4
0,0,0,0.0,1,2,3,1,2,41,1,0,0,2.0,0,1.0,0,2456,0,0,0,21,0
0,0,0,0.0,1,3,3,0,2,41,0,0,0,2.0,0,0.0,0,1818,0,0,1,22,0
0,0,0,0.0,1,2,3,0,1,7,1,0,0,2.0,0,3.0,1,2015,0,0,1,23,0
0,0,0,0.0,1,2,3,0,1,28,1,0,0,0.0,0,0.0,0,2670,0,0,1,29,0
0,0,0,0.0,1,2,0,0,1,7,1,0,0,3.0,0,0.0,0,2228,0,0,0,27,0
0,0,0,0.0,1,0,3,0,1,8,0,0,0,0.0,0,3.0,1,1590,0,0,1,29,0
0,0,0,0.0,1,2,0,0,1,7,1,0,1,4.0,1,3.0,1,3271,9477,1,2,48,7
0,0,0,0.0,1,0,0,0,1,27,0,0,0,4.0,1,0.0,0,1376,8616,0,2,37,0
0,0,0,0.0,1,1,0,1,1,8,0,0,0,3.0,0,0.0,0,1590,0,0,0,18,0
0,0,0,0.0,1,1,0,0,1,8,0,0,0,0.0,0,1.0,0,1590,0,0,1,31,0
0,0,0,0.0,1,3,0,1,1,41,0,0,0,0.0,0,1.0,0,1818,0,0,2,23,0
0,0,0,0.0,1,0,0,0,1,7,0,0,0,4.0,1,3.0,1,920,15224,0,1,57,0
0,0,0,0.0,1,2,3,0,1,8,0,0,1,0.0,0,1.0,0,2169,0,0,0,26,0
0,0,0,0.0,1,0,0,1,1,41,1,0,0,3.0,1,0.0,0,2870,10237,1,1,50,6
0,0,0,0.0,1,3,0,0,1,27,0,0,1,3.0,0,2.0,0,2385,0,1,2,29,4
0,0,0,0.0,1,0,0,0,2,19,1,0,0,4.0,0,0.0,0,1376,0,0,1,18,0
0,0,0,0.0,1,2,0,1,1,8,1,0,0,4.0,1,0.0,0,2015,13606,1,1,60,6
0,0,0,0.0,1,0,0,1,1,13,0,0,0,4.0,0,3.0,1,1376,0,1,2,27,3
0,0,0,0.0,1,0,3,0,1,9,1,0,0,2.0,1,3.0,1,2892,16300,0,1,41,0
0,0,0,0.0,1,3,2,1,1,45,0,0,0,4.0,1,3.0,1,920,22763,0,2,46,0
0,0,0,0.0,1,0,0,0,1,32,0,0,0,4.0,1,0.0,0,920,3326,1,1,41,3
0,0,0,0.0,1,2,3,0,1,28,1,0,0,2.0,0,2.0,0,2002,0,0,2,29,0
0,0,0,0.0,1,2,0,1,1,19,1,0,0,4.0,0,0.0,0,1560,0,0,1,19,0
0,0,0,0.0,1,0,0,0,1,28,0,0,0,3.0,1,3.0,1,1818,9544,0,2,49,0
0,0,0,0.0,1,2,3,1,1,8,0,0,1,4.0,0,0.0,0,2169,0,1,2,26,4
0,0,0,0.0,1,2,0,1,1,7,1,0,1,0.0,0,2.0,0,1590,0,0,0,18,0
0,0,0,0.0,1,2,3,0,2,41,1,0,0,4.0,0,0.0,0,2670,0,1,1,26,4
0,0,0,0.0,1,0,0,1,1,7,1,0,0,0.0,0,0.0,0,1590,0,0,1,22,0
