criterion,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_features,min_weight_fraction_leaf,max_leaf_nodes,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
entropy,30,5,4,200,sqrt,0.0,,0.8617922425323228,0.8595942025990991,0.8617922425323228,0.935180856343744,0.8588050697976943,0.8532447471674345,0.9299106048108433,OK
entropy,30,10,4,300,sqrt,0.0,,0.8617922425323228,0.8595778319188868,0.8617922425323228,0.935084004317015,0.8587922015290043,0.8530887136054834,0.9274137815725528,OK
entropy,25,10,4,300,sqrt,0.0,,0.8617922425323228,0.8595450345621662,0.8617922425323228,0.9349738276788058,0.8587667937588314,0.8534454185436176,0.9271908509262768,OK
entropy,20,20,2,400,sqrt,0.0,,0.8615247436469015,0.8594286102200102,0.8615247436469015,0.9349375131406523,0.85861507682296,0.853356242309084,0.9144392179592928,OK
entropy,25,5,2,400,sqrt,0.0,,0.8613464110566206,0.8593773275870237,0.8613464110566206,0.937618226095667,0.8585443587656714,0.8560759907350942,0.967741935483871,MILD OVERFITTING
entropy,25,5,4,400,sqrt,0.0,,0.8615247436469015,0.8593633736673651,0.8615247436469015,0.9353913454301713,0.8585611264130945,0.8536237635581397,0.9297545533584501,OK
entropy,30,10,2,200,sqrt,0.0,,0.8613464110566206,0.8592801267924381,0.8613464110566206,0.9364482456577875,0.8584586023396568,0.8550059107085678,0.9441781661725037,MILD OVERFITTING
entropy,20,5,4,300,sqrt,0.0,,0.8612572447614801,0.8590998862075816,0.8612572447614801,0.9350702819559384,0.8582912198375942,0.8536014322267823,0.9281271596406357,OK
entropy,25,5,4,200,sqrt,0.0,,0.8613464110566206,0.8590672274434673,0.8613464110566206,0.9352517750967866,0.8582861667560303,0.8533562199454497,0.9288405377087188,OK
entropy,20,10,4,400,sqrt,0.0,,0.8611680784663397,0.8589683271833032,0.8611680784663397,0.9351486386264338,0.8581658158547852,0.8529549741021659,0.9244933901063379,OK
entropy,30,20,2,300,sqrt,0.0,,0.8612572447614801,0.8589518106727955,0.8612572447614801,0.9348187848861199,0.8581750485100841,0.8541810628421604,0.9176494192656665,OK
entropy,20,10,4,200,sqrt,0.0,,0.8611680784663397,0.8589354379545964,0.8611680784663397,0.9353601618618118,0.8581397308833872,0.8532447322583451,0.9247609068818691,OK
entropy,30,20,4,300,sqrt,0.0,,0.8610789121711993,0.858853072341694,0.8610789121711993,0.9336712773004385,0.85805392687931,0.8527542903017415,0.9085315558329804,OK
entropy,30,20,4,400,sqrt,0.0,,0.8609005795809184,0.8587376751181409,0.8609005795809184,0.9336966537246904,0.8579224794473505,0.8525313646244974,0.9085538488976079,OK
entropy,25,10,4,200,sqrt,0.0,,0.8609897458760588,0.8586715799245855,0.8609897458760588,0.9347529175529522,0.8578915880146101,0.8538912326253818,0.9268787480214905,OK
entropy,30,20,2,200,sqrt,0.0,,0.8608114132857779,0.858539988099431,0.8608114132857779,0.9347813566490966,0.8577446956266704,0.8538912549890162,0.9173819024901353,OK
entropy,30,10,6,300,sqrt,0.0,,0.8607222469906375,0.8584741763276539,0.8607222469906375,0.9330038137026806,0.8576717314785051,0.8513721133331342,0.9104041732616983,OK
entropy,30,5,6,300,sqrt,0.0,,0.8607222469906375,0.8584741763276539,0.8607222469906375,0.9330038137026806,0.8576717314785051,0.8513721133331342,0.9104041732616983,OK
entropy,25,20,2,400,sqrt,0.0,,0.8606330806954972,0.8584577933303875,0.8606330806954972,0.9346504572569134,0.8576391518745955,0.8530887136054834,0.9172927302316249,OK
entropy,30,20,4,200,sqrt,0.0,,0.8606330806954972,0.8584083539483363,0.8606330806954972,0.933532979765762,0.8575990875526798,0.8528434590817303,0.9082640390574492,OK
entropy,25,20,4,400,sqrt,0.0,,0.8605439144003567,0.8583425209354506,0.8605439144003567,0.933688221433246,0.8575267629979346,0.8526428299479679,0.9085538488976079,OK
entropy,25,20,4,300,sqrt,0.0,,0.8605439144003567,0.85832602120322,0.8605439144003567,0.9337375423832026,0.8575134376303305,0.8529549244052006,0.9083755043805872,OK
entropy,20,20,2,200,sqrt,0.0,,0.8604547481052163,0.858276677262992,0.8604547481052163,0.9347057046758568,0.8574547569668957,0.8530440882154929,0.9139710636021133,OK
entropy,20,20,4,200,sqrt,0.0,,0.8604547481052163,0.8582601951867278,0.8604547481052163,0.9338670098768385,0.8574412441661757,0.8527988510856774,0.9060124395300622,OK
entropy,25,10,6,400,sqrt,0.0,,0.8606330806954972,0.8582256245986581,0.8606330806954972,0.9328866764465338,0.857460588578035,0.8507479467823028,0.909869139710636,OK
entropy,25,5,6,400,sqrt,0.0,,0.8606330806954972,0.8582256245986581,0.8606330806954972,0.9328866764465338,0.857460588578035,0.8507479467823028,0.909869139710636,OK
entropy,25,20,2,300,sqrt,0.0,,0.8603655818100758,0.85814485243238,0.8603655818100758,0.9347043523272289,0.8573289187492785,0.853133309177295,0.9175156608779009,OK
entropy,20,20,2,300,sqrt,0.0,,0.860187249219795,0.858111884031473,0.860187249219795,0.9348513605780671,0.8572691082290326,0.853311641767576,0.914104821989879,OK
entropy,20,20,4,300,sqrt,0.0,,0.860187249219795,0.8580626529159306,0.860187249219795,0.9338970797463281,0.8572265693693596,0.8525982393458529,0.905856388077669,OK
entropy,20,20,4,400,sqrt,0.0,,0.860187249219795,0.8579471228702029,0.860187249219795,0.9338841528844444,0.8571310835671924,0.8524644725092043,0.9065028869518693,OK
entropy,30,10,6,400,sqrt,0.0,,0.8602764155149354,0.8579296807633139,0.8602764155149354,0.932983170498626,0.8571396273596539,0.8506587655780729,0.9099583119691464,OK
entropy,30,5,6,400,sqrt,0.0,,0.8602764155149354,0.8579296807633139,0.8602764155149354,0.932983170498626,0.8571396273596539,0.8506587655780729,0.9099583119691464,OK
entropy,25,20,4,200,sqrt,0.0,,0.8602764155149354,0.8578460301325481,0.8602764155149354,0.9337359513848169,0.8570783586886467,0.8530218289447353,0.9077290055063869,OK
entropy,20,10,4,300,sqrt,0.0,,0.8597414177440927,0.8575522129934098,0.8597414177440927,0.9353170458055594,0.8567171773360963,0.8531555783874458,0.9244933901063379,OK
entropy,25,20,2,200,sqrt,0.0,,0.8596522514489523,0.8574367825782605,0.8596522514489523,0.9345530483807494,0.8566044169503565,0.853423094666805,0.9172035579731146,OK
entropy,25,5,6,300,sqrt,0.0,,0.8595630851538119,0.8571707958709935,0.8595630851538119,0.9329867104700342,0.8563748051915896,0.8512607001914775,0.9097353813228705,OK
entropy,25,10,6,300,sqrt,0.0,,0.8595630851538119,0.8571707958709935,0.8595630851538119,0.9329867104700342,0.8563748051915896,0.8512607001914775,0.9097353813228705,OK
entropy,30,5,6,200,sqrt,0.0,,0.8595630851538119,0.8571371457088206,0.8595630851538119,0.9328111835731326,0.8563500002738713,0.8517288108167234,0.9099137258398912,OK
entropy,30,10,6,200,sqrt,0.0,,0.8595630851538119,0.8571371457088206,0.8595630851538119,0.9328111835731326,0.8563500002738713,0.8517288108167234,0.9099137258398912,OK
entropy,20,5,6,400,sqrt,0.0,,0.8594739188586714,0.8571053141254715,0.8594739188586714,0.9331736130053936,0.8563012359522555,0.8519071831645766,0.9083977974452148,OK
entropy,20,10,6,400,sqrt,0.0,,0.8594739188586714,0.8571053141254715,0.8594739188586714,0.9331736130053936,0.8563012359522555,0.8519071831645766,0.9083977974452148,OK
entropy,20,5,6,300,sqrt,0.0,,0.8595630851538119,0.8571034190045981,0.8595630851538119,0.9332849431174323,0.8563256340380131,0.8523976276060281,0.9081748667989389,OK
entropy,20,10,6,300,sqrt,0.0,,0.8595630851538119,0.8571034190045981,0.8595630851538119,0.9332849431174323,0.8563256340380131,0.8523976276060281,0.9081748667989389,OK
entropy,30,20,6,300,sqrt,0.0,,0.859384752563531,0.8570733232658185,0.859384752563531,0.9327922904673026,0.8562539853390766,0.8510600288152945,0.9006843970840671,OK
entropy,25,20,6,200,sqrt,0.0,,0.8592064199732501,0.8569922352714653,0.8592064199732501,0.9328761758571882,0.8561501332620789,0.851260630615726,0.9002385357915152,OK
entropy,25,5,6,200,sqrt,0.0,,0.8592955862683905,0.856873461735034,0.8592955862683905,0.932887989020202,0.8560785515779114,0.8515950911921919,0.9093341061595738,OK
entropy,25,10,6,200,sqrt,0.0,,0.8592955862683905,0.856873461735034,0.8592955862683905,0.932887989020202,0.8560785515779114,0.8515950911921919,0.9093341061595738,OK
entropy,25,20,6,300,sqrt,0.0,,0.8591172536781096,0.856843276951148,0.8591172536781096,0.9327769771078401,0.8560101644939646,0.8508371180471398,0.9005729317609292,OK
entropy,25,20,6,400,sqrt,0.0,,0.8591172536781096,0.85679304299856,0.8591172536781096,0.9325338725545063,0.8559702919481307,0.8513275450946536,0.9009964999888534,OK
entropy,30,20,6,400,sqrt,0.0,,0.8586714222024074,0.8563818624748054,0.8586714222024074,0.9325608002021841,0.8555418425952638,0.8516619336105198,0.9009296207949706,OK
entropy,20,5,6,200,sqrt,0.0,,0.8587605884975479,0.856312313906467,0.8587605884975479,0.9331968018068652,0.8555108114939651,0.8519963270960826,0.9081079876050561,OK
entropy,20,10,6,200,sqrt,0.0,,0.8587605884975479,0.856312313906467,0.8587605884975479,0.9331968018068652,0.8555108114939651,0.8519963270960826,0.9081079876050561,OK
entropy,30,20,6,200,sqrt,0.0,,0.8584930896121267,0.856267686748458,0.8584930896121267,0.9327910972185133,0.855412355602595,0.8512160375287628,0.9002608288561429,OK
entropy,20,20,6,300,sqrt,0.0,,0.8586714222024074,0.8562131191832093,0.8586714222024074,0.9325324008809995,0.8554120166964821,0.8512383937086027,0.899101589495508,OK
entropy,25,5,8,300,sqrt,0.0,,0.8582255907267053,0.8558189983386472,0.8582255907267053,0.9316458568055312,0.8549937931348556,0.8494995142867097,0.8967162315803554,OK
entropy,25,10,8,300,sqrt,0.0,,0.8582255907267053,0.8558189983386472,0.8582255907267053,0.9316458568055312,0.8549937931348556,0.8494995142867097,0.8967162315803554,OK
entropy,20,20,6,200,sqrt,0.0,,0.8580472581364245,0.8557053952238655,0.8580472581364245,0.9323440266721335,0.854861678605604,0.8513052584905649,0.8992576409479011,OK
entropy,25,5,8,200,sqrt,0.0,,0.8580472581364245,0.8555354243013982,0.8580472581364245,0.931591086686104,0.8547327913114469,0.8499453333381706,0.8962926633524311,OK
entropy,25,10,8,200,sqrt,0.0,,0.8580472581364245,0.8555354243013982,0.8580472581364245,0.931591086686104,0.8547327913114469,0.8499453333381706,0.8962926633524311,OK
entropy,30,20,8,400,sqrt,0.0,,0.8577797592510031,0.8554588603578426,0.8577797592510031,0.9312995760068853,0.8546049044650099,0.8493434335126416,0.894754441893127,OK
entropy,20,20,6,400,sqrt,0.0,,0.8576905929558627,0.855274919087095,0.8576905929558627,0.9323734999172283,0.854438880457377,0.850837120531988,0.899480571594177,OK
entropy,30,10,8,300,sqrt,0.0,,0.8575122603655818,0.8550935593365775,0.8575122603655818,0.9316403678611008,0.8542539095648843,0.849454918714898,0.8971620928729073,OK
entropy,30,5,8,300,sqrt,0.0,,0.8575122603655818,0.8550935593365775,0.8575122603655818,0.9316403678611008,0.8542539095648843,0.849454918714898,0.8971620928729073,OK
entropy,25,20,8,300,sqrt,0.0,,0.8570664288898796,0.8547168910558701,0.8570664288898796,0.9313332256227427,0.8538523163917676,0.8492319880679574,0.8943308736652028,OK
entropy,25,20,8,200,sqrt,0.0,,0.8569772625947392,0.8546517647985258,0.8569772625947392,0.9309924337685271,0.853780742760252,0.8490759147484344,0.8947321488284995,OK
entropy,30,20,8,300,sqrt,0.0,,0.8568880962995987,0.854552646316199,0.8568880962995987,0.9313768189785107,0.8536814364762861,0.8491650959526643,0.8944869251175959,OK
entropy,30,5,8,200,sqrt,0.0,,0.85715559518502,0.8545070958659152,0.85715559518502,0.931621315655432,0.8537208614430084,0.8499007626148416,0.8963149564170586,OK
entropy,30,10,8,200,sqrt,0.0,,0.85715559518502,0.8545070958659152,0.85715559518502,0.931621315655432,0.8537208614430084,0.8499007626148416,0.8963149564170586,OK
entropy,20,5,8,300,sqrt,0.0,,0.8568880962995987,0.8545015303264655,0.8568880962995987,0.9314127755420274,0.8536401660653851,0.8493657201167302,0.8964041286755691,OK
entropy,20,10,8,300,sqrt,0.0,,0.8568880962995987,0.8545015303264655,0.8568880962995987,0.9314127755420274,0.8536401660653851,0.8493657201167302,0.8964041286755691,OK
entropy,20,20,8,200,sqrt,0.0,,0.8568880962995987,0.8544331037845173,0.8568880962995987,0.9312888367677818,0.8535866414193002,0.8491651058920573,0.8935283233386093,OK
entropy,25,20,8,400,sqrt,0.0,,0.8567097637093178,0.8543714035078703,0.8567097637093178,0.9312514085307583,0.8534967428785413,0.849365737510668,0.8945315112468512,OK
entropy,30,20,8,200,sqrt,0.0,,0.8567097637093178,0.8543373031339894,0.8567097637093178,0.9310433457168692,0.8534690217330657,0.8492542299447772,0.8949327864101478,OK
entropy,25,5,8,400,sqrt,0.0,,0.8567097637093178,0.8542345353359203,0.8567097637093178,0.9315938311583193,0.8533884314627687,0.8490982336555503,0.8971397998082796,OK
entropy,25,10,8,400,sqrt,0.0,,0.8567097637093178,0.8542345353359203,0.8567097637093178,0.9315938311583193,0.8533884314627687,0.8490982336555503,0.8971397998082796,OK
entropy,30,10,8,400,sqrt,0.0,,0.8566205974141774,0.8541352277535346,0.8566205974141774,0.9316237817029298,0.8532893286969082,0.8489421851845096,0.8970283344851416,OK
entropy,30,5,8,400,sqrt,0.0,,0.8566205974141774,0.8541352277535346,0.8566205974141774,0.9316237817029298,0.8532893286969082,0.8489421851845096,0.8970283344851416,OK
entropy,20,20,8,300,sqrt,0.0,,0.8564422648238965,0.8540397011655656,0.8564422648238965,0.93137355743182,0.8531712072586001,0.8492320054618954,0.893773547049513,OK
entropy,20,10,8,200,sqrt,0.0,,0.856531431119037,0.8540186674148561,0.856531431119037,0.931244766112498,0.8531772292395782,0.8496778120891146,0.8962926633524311,OK
entropy,20,5,8,200,sqrt,0.0,,0.856531431119037,0.8540186674148561,0.856531431119037,0.931244766112498,0.8531772292395782,0.8496778120891146,0.8962926633524311,OK
entropy,20,5,8,400,sqrt,0.0,,0.8563530985287562,0.8540089178912129,0.8563530985287562,0.9312589657730904,0.853127355683052,0.8486746589657574,0.8963595425463139,OK
entropy,20,10,8,400,sqrt,0.0,,0.8563530985287562,0.8540089178912129,0.8563530985287562,0.9312589657730904,0.853127355683052,0.8486746589657574,0.8963595425463139,OK
entropy,20,20,8,400,sqrt,0.0,,0.8562639322336157,0.853755120556475,0.8562639322336157,0.9312149348927663,0.8529059527863354,0.8492320054618953,0.8938627193080233,OK
entropy,20,20,4,300,sqrt,0.0,100.0,0.8419973250111458,0.8376085989757435,0.8419973250111458,0.9138587931656756,0.8370287319939465,0.8352541922744777,0.8433912209911496,OK
entropy,30,20,4,300,sqrt,0.0,100.0,0.8419973250111458,0.8376085989757435,0.8419973250111458,0.9138587931656756,0.8370287319939465,0.8352541922744777,0.8433912209911496,OK
entropy,25,20,4,300,sqrt,0.0,100.0,0.8419973250111458,0.8376085989757435,0.8419973250111458,0.9138587931656756,0.8370287319939465,0.8352541922744777,0.8433912209911496,OK
entropy,25,20,2,300,sqrt,0.0,100.0,0.8421756576014267,0.8374562054689848,0.8421756576014267,0.9139290755193634,0.8370961679317488,0.8349866586011805,0.8439039614775843,OK
entropy,30,20,2,300,sqrt,0.0,100.0,0.8421756576014267,0.8374562054689848,0.8421756576014267,0.9139290755193634,0.8370961679317488,0.8349866586011805,0.8439039614775843,OK
entropy,20,20,2,300,sqrt,0.0,100.0,0.8421756576014267,0.8374562054689848,0.8421756576014267,0.9139290755193634,0.8370961679317488,0.8349866586011805,0.8439039614775843,OK
entropy,25,5,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,30,10,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,30,5,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,25,10,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,20,5,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,20,10,8,300,sqrt,0.0,100.0,0.8411948283548819,0.8370228884886538,0.8411948283548819,0.9139669810559027,0.8362840880737182,0.8344516185879174,0.8427224290523219,OK
entropy,30,5,2,200,sqrt,0.0,100.0,0.8413731609451627,0.836998420841176,0.8413731609451627,0.9148799754795329,0.8363778828636862,0.8342733506036915,0.8428338943754597,OK
entropy,25,5,2,200,sqrt,0.0,100.0,0.8413731609451627,0.836998420841176,0.8413731609451627,0.9148799754795329,0.8363778828636862,0.8342733506036915,0.8428338943754597,OK
entropy,20,5,2,200,sqrt,0.0,100.0,0.8413731609451627,0.836998420841176,0.8413731609451627,0.9148799754795329,0.8363778828636862,0.8342733506036915,0.8428338943754597,OK
entropy,30,10,2,200,sqrt,0.0,100.0,0.8408381631743201,0.8368831864567451,0.8408381631743201,0.9138374936747871,0.8360252059872073,0.8341841917630959,0.8427224290523219,OK
entropy,20,10,2,200,sqrt,0.0,100.0,0.8408381631743201,0.8368831864567451,0.8408381631743201,0.9138374936747871,0.8360252059872073,0.8341841917630959,0.8427224290523219,OK
entropy,25,10,2,200,sqrt,0.0,100.0,0.8408381631743201,0.8368831864567451,0.8408381631743201,0.9138374936747871,0.8360252059872073,0.8341841917630959,0.8427224290523219,OK
entropy,30,20,4,400,sqrt,0.0,100.0,0.841016495764601,0.8368398709574788,0.841016495764601,0.9137588188046145,0.8360950127071566,0.8356108624247357,0.8431682903448737,OK
entropy,25,20,4,400,sqrt,0.0,100.0,0.841016495764601,0.8368398709574788,0.841016495764601,0.9137588188046145,0.8360950127071566,0.8356108624247357,0.8431682903448737,OK
entropy,20,20,4,400,sqrt,0.0,100.0,0.841016495764601,0.8368398709574788,0.841016495764601,0.9137588188046145,0.8360950127071566,0.8356108624247357,0.8431682903448737,OK
entropy,20,10,4,200,sqrt,0.0,100.0,0.8408381631743201,0.8367806529334656,0.8408381631743201,0.9139586879768171,0.8359693862877747,0.8348529687948283,0.8431682903448737,OK
entropy,30,10,4,200,sqrt,0.0,100.0,0.8408381631743201,0.8367806529334656,0.8408381631743201,0.9139586879768171,0.8359693862877747,0.8348529687948283,0.8431682903448737,OK
entropy,25,10,4,200,sqrt,0.0,100.0,0.8408381631743201,0.8367806529334656,0.8408381631743201,0.9139586879768171,0.8359693862877747,0.8348529687948283,0.8431682903448737,OK
entropy,20,20,4,200,sqrt,0.0,100.0,0.8411056620597415,0.8367130919135992,0.8411056620597415,0.9137943975060145,0.836088842406178,0.8345631261538082,0.8431682903448737,OK
entropy,25,20,4,200,sqrt,0.0,100.0,0.8411056620597415,0.8367130919135992,0.8411056620597415,0.9137943975060145,0.836088842406178,0.8345631261538082,0.8431682903448737,OK
entropy,30,20,4,200,sqrt,0.0,100.0,0.8411056620597415,0.8367130919135992,0.8411056620597415,0.9137943975060145,0.836088842406178,0.8345631261538082,0.8431682903448737,OK
entropy,20,20,6,300,sqrt,0.0,100.0,0.8411948283548819,0.8366051228547926,0.8411948283548819,0.9138669669198821,0.8361033095725275,0.8352764515452351,0.8441491851884879,OK
entropy,30,20,6,300,sqrt,0.0,100.0,0.8411948283548819,0.8366051228547926,0.8411948283548819,0.9138669669198821,0.8361033095725275,0.8352764515452351,0.8441491851884879,OK
entropy,25,20,6,300,sqrt,0.0,100.0,0.8411948283548819,0.8366051228547926,0.8411948283548819,0.9138669669198821,0.8361033095725275,0.8352764515452351,0.8441491851884879,OK
entropy,20,5,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,20,10,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,25,5,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,25,10,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,30,10,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,30,5,6,200,sqrt,0.0,100.0,0.8408381631743201,0.8362169684298919,0.8408381631743201,0.9137273766990173,0.8357147155294535,0.8345631634265323,0.8434803932496601,OK
entropy,20,10,8,400,sqrt,0.0,100.0,0.8401248328131966,0.8362136503772144,0.8401248328131966,0.9136277205376334,0.835306965053269,0.8341841246721925,0.842767015181577,OK
entropy,20,5,8,400,sqrt,0.0,100.0,0.8401248328131966,0.8362136503772144,0.8401248328131966,0.9136277205376334,0.835306965053269,0.8341841246721925,0.842767015181577,OK
